date,metric,value
2026-05-01,sleep_hours,7.5
2026-05-01,steps,8200
2026-05-01,water_oz,80
2026-05-02,sleep_hours,6.0
2026-05-02,steps,11400
2026-05-02,water_oz,64
2026-05-03,sleep_hours,8.0
2026-05-03,steps,7800
2026-05-03,water_oz,96
2026-05-04,sleep_hours,7.0
2026-05-04,steps,9100
2026-05-04,water_oz,72
2026-05-05,sleep_hours,6.5
2026-05-05,steps,10200
2026-05-05,water_oz,88
2026-05-06,sleep_hours,7.5
2026-05-06,steps,6500
2026-05-06,water_oz,56
2026-05-07,sleep_hours,8.5
2026-05-07,steps,4200
2026-05-07,water_oz,80
